revenue,depn,pat,payout,roe,CL,DE,assets,NFA,CA,inventory,receivables,fyear,divdate,dps,returns,PE,PB,EPS,cashEPS,CR,QR,depnNFA,invTO,invTA,margin,ACP,CR_g,QR_g,invTO_g,invTA_g,margin_g,ACP_g,DE_g,payout_g,depnNFA_g,roe_g,dps_g,eps_g,eps_next_cat,returns_next_cat,eps_next_num,returns_next_num,year
22303.1,470.1,2432.5,14.0391,31.1097,9552.4,1.1812,19213.0,5296.9,12051.5,3782.1,3899.2,2015,2015-05-25,1.3,0.30403225806451667,34.134783870967745,9.350065725806449,18.725918951613,22.08122983870967,1.2616201164105356,0.8656882040115573,0.08875002359870869,0.16957732333173417,0.19685109040753657,0.10906555590926822,63.81211580452942,-0.037786788058010945,0.018668325355380322,-0.009258786130231789,-0.07860720676257804,0.1054180516118044,0.01934513570101548,-0.010720268006700118,-0.05476519104527855,0.5055016960706122,0.01934513570101548,0.08333333333333348,0.2641550915056783,1,1,0.7910421804408073,1.12857142857143,2015
22303.1,470.1,2432.5,14.0391,31.1097,9552.4,1.1812,19213.0,5296.9,12051.5,3782.1,3899.2,2015,2015-10-27,1.2,0.30403225806451667,34.134783870967745,9.350065725806449,18.725918951613,22.08122983870967,1.2616201164105356,0.8656882040115573,0.08875002359870869,0.16957732333173417,0.19685109040753657,0.10906555590926822,63.81211580452942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07692307692307698,0.0,1,1,1.0,0.30403225806451667,2015
22321.9,517.9,3096.5,19.4607,30.3997,9841.0,1.0474,23590.1,8717.3,13361.6,3948.1,4101.8,2016,2016-03-14,1.9,0.29473684210526363,29.178016194331992,7.98856113360324,24.647336842105243,28.826196761133556,1.3577481963215121,0.9565592927548013,0.0594105973179769,0.17687114448142854,0.16736258006536642,0.13872027022789277,67.07121705589577,0.07619415595914303,0.10496976662284618,0.043011771894912565,-0.14980110235163402,0.2718980714983412,-0.022822463733176535,-0.1132746359634269,0.38617860119238423,-0.3305849969504535,-0.022822463733176535,0.5833333333333333,0.31621507632244605,1,1,0.7597542514055053,0.30403225806451667,2016
22321.9,517.9,3096.5,19.4607,30.3997,9841.0,1.0474,23590.1,8717.3,13361.6,3948.1,4101.8,2016,2016-05-24,0.0,0.29473684210526363,29.178016194331992,7.98856113360324,24.647336842105243,28.826196761133556,1.3577481963215121,0.9565592927548013,0.0594105973179769,0.17687114448142854,0.16736258006536642,0.13872027022789277,67.07121705589577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1,1,1.0,0.29473684210526363,2016
22321.9,517.9,3096.5,19.4607,30.3997,9841.0,1.0474,23590.1,8717.3,13361.6,3948.1,4101.8,2016,2016-10-25,1.5,0.29473684210526363,29.178016194331992,7.98856113360324,24.647336842105243,28.826196761133556,1.3577481963215121,0.9565592927548013,0.0594105973179769,0.17687114448142854,0.16736258006536642,0.13872027022789277,67.07121705589577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1.0,0.29473684210526363,2016
24232.2,674.2,4573.7,4.5128,33.1004,10688.0,0.8079,29026.3,9428.1,17236.8,4319.5,4385.4,2017,2017-05-16,2.5,0.19919354838709696,26.670535483870975,6.9380028225806445,31.00620645161284,36.05020846774202,1.6127245508982035,1.2085797155688622,0.071509636087865,0.17825455385808964,0.1488133175775073,0.18874472808907156,66.05553767301359,0.18779355057696834,0.26346555276073436,0.007821566263491508,-0.11083279476579755,0.36061390147955663,0.08883969249696544,-0.2286614473935461,-0.7681070054006279,0.20365118877919586,0.08883969249696544,0.6666666666666667,0.2579941861566435,1,1,0.794916233321512,0.29473684210526363,2017
24232.2,674.2,4573.7,4.5128,33.1004,10688.0,0.8079,29026.3,9428.1,17236.8,4319.5,4385.4,2017,2017-10-25,1.5,0.19919354838709696,26.670535483870975,6.9380028225806445,31.00620645161284,36.05020846774202,1.6127245508982035,1.2085797155688622,0.071509636087865,0.17825455385808964,0.1488133175775073,0.18874472808907156,66.05553767301359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,1,1,1.0,0.19919354838709696,2017
23695.0,736.0,3666.0,15.0027,20.8232,18361.0,1.0658,39427.0,9957.0,26733.0,4520.0,5461.0,2018,2018-05-15,2.5,-0.116260162601626,31.080605691056906,5.824046341463412,26.612589024390193,32.09085162601634,1.4559664506290506,1.2097924949621481,0.07391784674098624,0.19075754378560877,0.1146422502346108,0.15471618484912428,84.12175564465076,-0.09720078991905146,0.0010034748868137378,0.07014120905698107,-0.2296237184894354,-0.18028870837594302,-0.37090790443620014,0.31922267607377175,2.3244770430774686,0.033676729247541504,-0.37090790443620014,0.6666666666666667,-0.1417012246912297,1,0,1.165095452501669,0.19919354838709696,2018
23695.0,736.0,3666.0,15.0027,20.8232,18361.0,1.0658,39427.0,9957.0,26733.0,4520.0,5461.0,2018,2018-10-26,2.5,-0.116260162601626,31.080605691056906,5.824046341463412,26.612589024390193,32.09085162601634,1.4559664506290506,1.2097924949621481,0.07391784674098624,0.19075754378560877,0.1146422502346108,0.15471618484912428,84.12175564465076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,-0.116260162601626,2018
29114.0,826.0,4077.0,16.9242,19.475,23029.0,1.0922,47520.0,11839.0,31781.0,5357.0,6939.0,2019,2019-05-17,1.5,0.5299755102040826,37.33976897959185,6.700404081632657,30.3890930612245,36.76536938775522,1.3800425550392983,1.147422814711885,0.06976940619984796,0.1840008243456756,0.11273148148148149,0.14003572164594352,86.9937143642234,-0.052146734258161964,-0.05155403138140191,-0.03542045732947263,-0.016667230006555234,-0.09488640905601964,-0.06474509201275491,0.024770125727153314,0.1280769461496929,-0.05612231313602423,-0.06474509201275491,-0.4,0.1419066755727214,1,0,0.8757283072177957,-0.116260162601626,2019
33551.0,1224.0,4423.0,14.0402,18.1799,27216.0,1.2983,59423.0,16678.0,33729.0,7199.0,5892.0,2020,2020-02-12,3.0,0.5266031746031752,49.59048359788361,7.2460005291005265,32.509944973544876,40.994138095238185,1.2393077601410936,0.9747942386831275,0.07339009473557981,0.2145688653095288,0.12114837689110278,0.13182915561384162,64.09883460999671,-0.1019785907212094,-0.1504489659917596,0.16612991312705283,0.07466322006070625,-0.05860337587898323,-0.06650064184852378,0.18870170298480127,-0.17040687299842816,0.05189507454543496,-0.06650064184852378,1.0,0.06978990482037495,1,1,0.9347629805572962,0.5299755102040826,2020
33551.0,1224.0,4423.0,14.0402,18.1799,27216.0,1.2983,59423.0,16678.0,33729.0,7199.0,5892.0,2020,2020-06-04,1.0,0.5266031746031752,49.59048359788361,7.2460005291005265,32.509944973544876,40.994138095238185,1.2393077601410936,0.9747942386831275,0.07339009473557981,0.2145688653095288,0.12114837689110278,0.13182915561384162,64.09883460999671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666667,0.0,1,1,1.0,0.5266031746031752,2020
26997.6,150.4,3264.7,12.3717,17.5183,105866.4,12.9178,297376.5,581.1,30151.2,,,2016,2016-03-31,3.4,-0.19999999999999943,38.00884615384616,2.645402564102565,22.60649999999999,23.605699999999985,0.28480424383940517,,0.2588194802959904,,,0.12092556375381515,,,,,,,,,,,,,,0,0,,,2016
39078.5,186.3,5237.3,0.0,13.5625,129198.4,6.7398,430958.4,584.0,52303.2,1697.6,,2017,2017-05-12,6.0,0.4927419354838714,39.871758064516165,3.8130891129032256,33.50363145161276,34.637295967742105,0.40482854276833147,0.39168906116484414,0.3190068493150685,0.04344076666197525,0.003939127303238549,0.13401998541397445,,0.42142735413944665,,,,0.10828497510102508,-0.22580958197998668,-0.4782548111907601,-1.0,0.2325457455916642,-0.22580958197998668,0.7647058823529411,0.4820353195590992,1,0,0.6747477518265198,-0.19999999999999943,2017
54962.9,241.1,8421.4,11.8686,13.8673,21129.0,8.7763,640648.7,753.9,,,,2018,2018-05-03,9.0,-0.2959349593495936,22.670332926829257,2.800483333333333,51.84348373983744,53.34173943089426,,,0.3198036874917098,,,0.15321971730021522,,0.0,0.0,0.0,0.0,0.14326021471301242,0.02247373271889397,0.30216030149262596,,0.0024978716863044426,0.02247373271889397,0.5,0.5473989383721523,1,0,0.6462457580926027,0.4927419354838714,2018
74897.7,312.9,10813.8,13.9368,15.4446,36998.1,10.4729,850544.9,1017.5,,,,2019,2019-05-09,9.0,-0.72035918367347,10.981544897959193,1.602057959183672,68.51352530612256,70.76857510204078,,,0.3075184275184275,,,0.14438093559615314,,0.0,0.0,0.0,0.0,-0.05768697305937176,0.11374240118840717,0.19331608992399962,0.1742581264850107,-0.038415004122179686,0.11374240118840717,0.0,0.3215455514127723,1,1,0.7566897704971045,-0.2959349593495936,2019
84977.7,656.4,6823.1,23.4131,8.8714,42557.2,9.2444,811846.8,2497.0,,,,2020,2020-06-13,0.0,-0.1558624338624329,5.504901058201056,0.5697698412698414,52.515024338624265,56.303153968254094,,,0.26287545054064876,,,0.08029282976592683,,0.0,0.0,0.0,0.0,-0.4438820510866246,-0.4255985910933271,-0.11730275281918079,0.6799480512025717,-0.14517171324669187,-0.4255985910933271,-1.0,-0.23350865243053875,1,1,1.3046461687675837,-0.72035918367347,2020
11948.2,139.3,1537.8,43.5232,61.2072,3621.2,2.0903,8873.1,1728.4,5335.8,3625.6,726.8,2014,2014-05-29,16.0,0.9428571428571437,52.32743131868129,25.28921043956044,148.33492582417543,162.1529571428571,1.4734894510107148,0.4722743841820392,0.08059476972922935,0.30344319646473944,0.4086057860274312,0.12870557908304178,22.202674879898222,,,,,,,,,,,,,0,0,,,2014
11948.2,139.3,1537.8,43.5232,61.2072,3621.2,2.0903,8873.1,1728.4,5335.8,3625.6,726.8,2014,2014-05-30,16.0,0.9428571428571437,52.32743131868129,25.28921043956044,148.33492582417543,162.1529571428571,1.4734894510107148,0.4722743841820392,0.08059476972922935,0.30344319646473944,0.4086057860274312,0.12870557908304178,22.202674879898222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.9428571428571437,2014
11948.2,139.3,1537.8,43.5232,61.2072,3621.2,2.0903,8873.1,1728.4,5335.8,3625.6,726.8,2014,2014-11-10,18.0,0.9428571428571437,52.32743131868129,25.28921043956044,148.33492582417543,162.1529571428571,1.4734894510107148,0.4722743841820392,0.08059476972922935,0.30344319646473944,0.4086057860274312,0.12870557908304178,22.202674879898222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,1,1,1.0,0.9428571428571437,2014
15697.3,176.4,1960.2,40.9703,58.0164,3121.9,1.9062,11203.5,2172.6,5606.8,4434.6,878.4,2015,2015-02-12,18.0,0.2725806451612908,77.45142822580645,34.20442459677421,174.91710040322582,191.37021249999935,1.7959575899292097,0.3754764726608795,0.0811930405965203,0.28250718276391484,0.3958227339670639,0.12487497849948719,20.424913838685637,0.2188465880752002,-0.2049611724946927,-0.06899483641333637,-0.03128455958650844,-0.029762506107703923,-0.05213112182880453,-0.08807348227527156,-0.05865607308286158,0.007423197178935137,-0.05213112182880453,0.0,0.17920374740712663,1,1,0.8480298694766143,0.9428571428571437,2015
15697.3,176.4,1960.2,40.9703,58.0164,3121.9,1.9062,11203.5,2172.6,5606.8,4434.6,878.4,2015,2015-05-28,20.0,0.2725806451612908,77.45142822580645,34.20442459677421,174.91710040322582,191.37021249999935,1.7959575899292097,0.3754764726608795,0.0811930405965203,0.28250718276391484,0.3958227339670639,0.12487497849948719,20.424913838685637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111111111116,0.0,1,1,1.0,0.2725806451612908,2015
