Id,PE,PB,Beta,ROE,g,nic2,Returns
455,43.64,11.78,0.61,29.08,0.185319626,86,0.368291347
456,66,7.75,1,9.81,-0.127867574,28,0.241341706
457,173.69,20.41,0.91,12.2,0.031107363,32,0.297833647
458,46.2,7.93,0.67,20.41,0.025361205,21,0.10413173
459,7.4,1.51,0.77,13.66,-0.122697644,35,0.486137366
460,,10.38,1.01,-2.08,-0.328337334,47,0.452879581
461,20.05,1.98,1.58,14.18,-0.034612656,13,1.383838384
462,32.41,4.6,0.99,16.26,-0.138385562,28,0.707512315
463,78.08,8.13,0.92,13.66,-0.013667296,24,0.731285509
464,,1.89,1.6,0.79,0,60,0.160194175
465,152.27,4.5,1.38,2.78,0.139353505,20,0.612629999
466,22.24,1.45,,12.85,0.125181309,66,1.090320259
467,,0.74,1.42,0.91,0.015418593,64,0.007874016
468,16.78,1.12,1.63,6.51,0,22,0.283701143
469,,1.87,2.03,0.49,0,64,-0.501176897
470,,2.38,,15.19,0,64,-0.521628499
471,23.79,3.68,1.06,13.09,0.062942049,23,0.51778032
472,,0.57,1.96,6.44,0.846925599,64,0.101426307
473,1122.28,9.05,1.05,3.18,-0.297981782,11,0.327896489
474,216.81,10.63,1.04,7.82,-0.053655165,11,0.301599654
475,,10.86,1.62,-16.66,-0.59739858,46,0.328395062
476,18.55,6.61,0.83,36.02,0.068769485,12,-0.081997085
477,49.52,7.11,0.95,18.08,0.083985893,47,0.417024705
478,,10.17,1.46,-0.97,-0.341828564,47,0.392829751
479,60.43,15.57,0.81,8.76,-0.149430792,32,0.590481834
480,139.49,2.79,1.25,1.96,-0.569592124,62,-0.374548084
481,33.78,9.25,1.08,44.22,0,20,-0.082117739
482,24.04,1.08,0.71,10.01,0,13,0.833701963
483,88.89,4.58,,6.03,0.041809006,29,-0.301207851
484,116.33,6.59,0.81,5.75,-0.137721872,11,0.517193385
485,4.74,0.8,1.72,14.33,0.242580348,24,0.932775713
486,23.07,2.4,2,27.59,-0.043821765,10,0.651532934
487,40.71,8.43,1.02,19.08,-0.071201088,20,0.52764443
488,,,0.89,-204.74,0,61,-0.225352113
489,48.96,6.15,1.12,13.79,-0.115736782,28,0.437957973
490,122.93,5.38,0.73,8.64,0,29,0.323448139
491,3.97,1.46,1.97,48.69,0.116547213,24,-0.11269722
492,14.41,2.13,1.48,17.14,0.124940095,13,1.059646539
493,,14.73,0.87,-0.08,-0.14,64,0.168054338
494,113.11,12.39,0.95,12.41,-0.018180272,27,-0.136972233
495,23.98,4.13,0.57,21.94,-0.003192232,62,0.745631068
496,13.35,3.7,1.92,45.63,0.786376539,21,-0.248650627
497,6.93,1.21,0.13,-12.61,-0.404968571,64,-0.389355742
498,61.24,2.59,1.2,13.69,-0.091601854,60,-0.204250559
499,21.16,3,0.92,15.18,0,62,0.842038753
500,,3.13,0.68,-5.04,-0.30522833,10,0.179251444
