Id,PE,PB,Beta,ROE,g,nic2,Returns
102,6.48,1.91,1.06,29.26,0.016823543,46,0.365093304
103,666.59,9.08,0.77,1.92,-0.36039604,64,0.254848937
104,25.74,3.36,1.06,17.09,0.100167298,64,0.481877983
105,24.59,3.4,0.58,13.22,0.041083719,21,0.159217025
106,34.43,2.3,0.89,10.64,-0.008352065,64,-0.144641866
107,5.33,4.84,0.74,73.23,0,64,0.086747877
108,11.21,1.25,0.77,18.05,0,30,-0.001073681
109,51.09,9.25,1.08,12.69,0.000954047,62,0.914699739
110,47.88,30.62,0.52,75.03,0.064653347,20,0.106053346
111,43.04,3.09,,45.68,0.073417166,63,1.069114471
112,,2.39,1.01,3.68,0,49,0.812296519
113,17.18,4.6,0.93,27.37,0.079855537,20,-0.031856126
114,133.92,3.32,,4.52,0.205866812,64,-0.100681352
115,85.69,20.06,0.72,22.93,-0.224009508,70,0.454711041
116,57.1,14.58,0.78,35.71,0.059210668,27,0.256733675
117,28.55,3.61,1,14.4,-0.144902825,28,0.809154991
118,23.32,2.42,0.74,12.49,-0.079767245,62,0.986648475
119,11,1.08,1.25,10.19,0.012697395,64,-0.191614256
120,9.91,1.36,1.38,15.06,0.068544447,34,1.341945289
121,,2.11,1.93,3.95,-0.28705963,41,0.443203779
122,74.66,18.64,0.61,27.81,0.133760457,20,0.194756554
123,214.56,2.75,,1.77,0,64,1.12521417
124,34.19,7.36,1.37,21.27,-0.182081493,20,1.511918034
125,,2.23,2.04,4.42,-0.438838023,93,0.389978214
126,141.25,3.57,2.02,6.26,0,64,-0.378050676
127,17.83,4.65,0.87,28,0.211120217,20,0.061955532
128,17.59,1.42,1.62,12.48,0,42,0.332951362
129,3.16,0.6,1.44,-30.05,0,61,0.160447761
130,,0.44,1.17,-4.94,-0.559948332,20,0.349423631
131,55.79,11.61,0.91,23.57,0.241172506,21,0.356125875
132,113.89,24.33,1.05,25.3,0,26,0.608407598
133,79.4,16.45,0.43,25.08,0.158467286,86,0.770371977
134,29.95,5.2,0.7,13.59,0.123602465,21,-0.059105493
135,208.18,2.52,1.18,42.89,0.543705672,10,0.176196712
136,,1.88,1.09,-11.74,-0.672685809,55,0.178789561
137,52,11.59,0.82,21.38,0.068336875,22,-0.071216029
138,15.29,2.66,0.87,10.23,0,63,1.469546021
139,,1.92,1.95,18.9,5.583342815,64,0.158278629
140,57.15,7.57,1.03,14.79,-0.049966835,30,0.115472757
141,51.3,6.33,1.1,13.86,-0.005616536,28,0.29248366
142,55.09,10.3,0.91,15.65,0,20,0.386076696
143,58.1,7.38,1.17,15.61,-0.037820996,29,0.1854118
144,14.15,2,1.43,18.62,0,34,-0.076579451
145,15.69,1.26,1.77,8.34,9.09805978,64,0.846549192
146,24.25,5.23,0.3,24.39,0.08024292,21,0.334770239
147,24.18,3.34,1.56,19.71,0.210252511,28,0.108695652
148,23.83,2.39,0.77,11.51,0.01871661,27,-0.028235294
149,19.11,3.3,0.99,16.59,0,21,0.046522132
150,9.86,0.85,1.37,10.38,0.036619774,64,0.222638681
151,64.53,10.93,,16.78,0.087408313,20,0.207020952
152,15.62,1.87,1.08,16.01,0,27,0.372842014
153,16.54,3.4,0.89,30.43,0.172086227,22,0.319170343
154,23.32,3.04,1.33,17.37,0.39869786,63,0.877832512
155,562.5,1.31,0.99,0.05,-0.45844079,64,0.775451031
156,,1.78,1.99,-24.99,0,46,-0.164705882
157,,1.94,1.96,0.83,0,47,-0.418678526
158,8.4,1.18,1.13,11.36,-0.201962513,52,0.169979716
159,88.57,2.03,0.79,7.06,0.322850702,42,0.113129216
160,76.39,4.51,1.21,30.27,0.246123071,28,0.19626378
161,,1.44,1.55,-13.1,0.253181481,42,0.154716981
162,35.38,6.89,0.66,18.66,0.020893168,20,0.574369107
163,13.23,1.99,,14.1,-0.199168073,30,0.009773663
164,26.32,5.4,1.04,19.3,0.033072153,13,0.461396046
165,,,1.49,,,65,0.057512581
166,66.99,20.31,0.55,27.25,0,25,0.025489315
167,41.62,6.78,,20.88,0.284336954,21,0.703899989
168,74.4,18.25,0.59,21.3,-0.132097874,21,-0.08094461
169,8.89,0.96,1.05,11.77,0.095409221,21,0.074974671
170,16.45,2.18,1.78,15.94,-0.033538453,12,0.010389343
171,32.14,5.98,1.15,16.74,-0.118217562,10,0.240982994
172,59.66,12.4,0.92,21.32,0.122241503,34,0.503276363
173,,9.08,1.21,-6.81,-0.058302565,20,0.339294173
174,306.47,7.04,1.09,-0.62,-0.523498073,41,0.101351115
175,19.55,4.23,1.36,27.82,0.262837786,21,-0.06999858
176,22.53,1.52,1.51,5.1,-0.292487108,23,1.099934037
177,107.14,1.61,1.19,2.24,-0.228881623,20,0.675324675
178,4.72,0.65,0.91,18.48,0.020556029,50,0.362082067
179,,2.25,1.06,1.16,-0.291725142,28,0.594594595
180,39.01,6.36,0.69,20.85,0.061599366,23,0.952676331
181,17.26,0.56,1.3,4.13,-0.111186913,20,0.272444946
182,9.86,1.75,1.64,22.6,0.237234671,10,0.473929631
183,34.39,1.86,,10.29,0,20,1.917143108
184,22.32,6.27,0.93,43.75,0,52,0.848698193
185,5.78,0.63,1.48,13.48,-0.044558122,20,0.5109375
186,17.9,2.38,0.95,10.61,-0.010722053,52,0.040826873
187,9.29,0.41,1.53,1.76,0,20,0.4466759
188,13.52,1.71,0.6,17.8,0,49,0.572427798
189,20.54,4.35,0.62,24.58,0.017158614,19,-0.153664303
190,23.82,5.88,0.64,21.83,0.101526351,62,0.249484754
191,49.34,8.55,,30.11,0.027288038,66,0.07107608
192,26.52,4.08,0.73,16.61,0.063353293,64,0.092564228
193,,,1.06,,,65,0.085365854
194,,1.05,1.67,-0.74,-0.402905402,23,1.433524139
195,30.5,1.86,1.64,13.2,0,42,1.852713178
196,35.84,5.27,,41.74,0.103317111,46,3.282933914
197,79.15,16.19,0.58,25.58,0.047975611,14,0.645864973
198,62.54,11.35,0.97,21.96,0.113485327,27,0.577034328
199,22.07,3.8,1.35,21.57,0,23,0.160970232
200,,9.58,,-0.54,0,64,0.393477117
201,22.77,3.95,0.92,20.21,0.033887818,30,-0.100401929
202,20.42,1.1,1.63,5.04,0,23,0.042285714
203,65.19,1.18,1.51,2.27,0.066470474,24,0.92184577
204,10.1,1.47,0.74,22.44,0,34,0.633087149
205,,5.11,1.74,17.39,1.022054498,24,0.920686836
206,5.35,0.94,1.07,32.74,-0.061172402,19,0.226938963
207,75.81,111.45,0.6,28.68,0.175650207,20,0.159597562
208,13.99,3.39,0.88,21.98,0.194420057,24,0.376071951
209,74.96,13.29,0.85,19.34,-0.080351418,26,0.08105759
210,5.28,0.61,1.5,14.67,0,66,0.06675063
211,42.5,4.54,0.91,12.39,-0.180128461,64,0.108787837
212,27.91,3.1,1.24,13.13,-0.066939798,17,-0.158507415
213,60.06,2.64,1.41,12.56,0.075613788,64,0.339874778
214,,,0.68,,,65,0.045270737
215,,,1.03,,,65,0.407437105
216,17.36,8.62,1.37,71.28,0.490235117,66,0.578560622
217,,1.12,1.48,4.68,0.046653125,64,0.257234727
218,,1.19,1.65,2.73,0.122440741,64,0.252361673
219,,0.64,1.67,0.1,-0.736745887,64,0.382432432
220,258.16,6.75,1.67,9.11,0.048896321,27,-0.049764656
221,19.21,1.14,1.39,9.36,0.276760855,64,1.478241758
222,18.42,3.76,,26.93,0.353032495,34,0.570044967
223,9.97,3.66,1.15,42.87,0.041197601,21,-0.249932487
224,17.51,1.62,1.65,10.81,0,42,0.489666807
225,18.79,4.23,0.63,21.23,0.037659192,12,0.013157895
226,,,1.85,,0,70,-0.077834848
227,35.46,0.95,1.4,4.03,-0.120837563,23,0.088061466
228,14.15,0.63,2.13,7.04,-0.266399499,64,0.027462551
229,,0.59,1.99,-1.31,0,64,0.745742092
230,74.26,36.77,,30.32,0.054914629,47,0.36606474
231,8.26,0.46,1.81,11.61,0.829958748,64,0.427654609
232,34.32,12.64,0.82,46.33,0.20265177,64,1.505484862
233,,3.53,0.94,-12.34,-0.571167815,55,0.197751873
234,13.59,0.8,0.9,23.48,-0.091748737,19,0.229796592
235,68.94,1.23,1.12,5.83,0.067845668,64,0.831775701
236,115.34,4.02,,44.07,0,46,1.286062039
237,15.28,2.49,1.81,23.17,0.261924176,13,0.863027806
238,38.1,3.76,1.22,3.62,0,21,0.525735899
239,37.85,6.35,0.76,24.73,0,52,0.12401712
240,26.17,3.99,0.56,22.42,1.057232093,61,0.051109178
241,29.84,1.74,1.68,7.33,-0.005157131,64,0.118777585
242,189.47,2.17,1.61,1.88,-0.016414882,62,0.043956044
243,214.66,13.56,0.91,7.75,-0.110701215,82,0.299680531
244,30.73,8.02,0.5,27.06,0.077581282,62,0.359014174
245,30.14,4.05,0.88,17.4,-0.154074134,28,0.427694668
246,,5.06,1.25,-53.82,-0.801861286,59,0.081827843
247,26,4,1.96,19.94,0.323918949,62,1.051896524
248,,55.93,1.17,-196.9,-0.564984595,51,0.131927117
249,25.09,6.03,0.7,27.06,0.18334348,21,0.141744335
250,18.09,0.96,,12.08,0,42,0.011428571
251,20.43,4.41,0.8,27.5,0.187570234,21,0.751450202
252,20.06,4.04,1.04,17.57,0.167631746,23,0.849488731
253,12.38,2.06,0.94,19.22,0.087737887,23,1.155339806
254,6.64,0.73,1.34,13,-0.092668623,17,1.258110014
255,6.83,0.82,1.52,11.25,0.01187948,22,1.066666667
256,47.96,2.34,1.81,5.77,0.18664427,66,0.059798697
257,,1.19,1.21,2.05,-0.408106711,35,2.755162242
258,13.21,2.22,1.2,19.97,0.099668793,24,0.766012397
259,,3.88,1.84,2.14,-0.119269982,29,0.157565415
260,86.32,4.46,1.5,9.25,0,29,0.414634146
261,10.44,0.35,1.97,4.7,-0.13618879,24,0.584706658
262,9.67,1.6,1.75,23.02,0.012421438,24,1.046979866
263,53.42,1.31,1.46,14.73,-0.046353303,24,1.101056803
264,6.58,0.99,2.11,2.67,0,24,0.500656784
265,,10.69,1.16,4.69,-0.255755975,28,-0.160453931
266,248.81,28.07,1.17,17.97,-0.155602814,10,0.460365799
267,15.42,3.14,1.49,24.49,0,70,0.563744076
268,28.34,5.93,0.77,22.69,0.133111432,20,0.204304749
269,14.99,2.88,1.53,20.32,0.121442054,42,0.178046435
270,20.63,2.55,1.08,14.83,0,42,0.987053021
271,44.81,3.9,,9.45,-0.179173643,62,1.31971831
272,18.13,3.37,1.12,25.36,0.012170851,13,1.271558375
273,10.23,1.63,1.32,19.17,0,11,0.03002451
274,19.59,2.65,0.8,11.96,-0.088347769,28,0.857774674
275,38.27,5.81,0.92,16.93,0,23,0.680144969
276,12.14,1.23,1.41,16.64,-0.012686975,42,0.288899283
277,60.76,8.29,0.9,13.5,-0.035574489,20,0.022542164
278,10.41,0.53,0.96,5.3,-0.084694113,64,-0.067759563
279,9.6,2.46,1.28,26.04,0,16,0.155384615
280,16.56,2.52,1.7,16.64,-0.142527244,27,0.626743576
281,62.48,6.45,0.84,12.47,-0.000392546,64,-0.115629385
282,141.87,2.38,1.87,1.23,-0.250513347,64,-0.032128514
283,36.48,8.52,0.9,22.59,-0.03026937,71,0.843285177
284,6.61,0.91,1.26,13.94,0,64,0.173564014
285,53.58,4.6,0.78,18.84,0,23,0.261854805
286,320.56,2.95,0.98,2.86,0.063725833,28,0.694854499
287,36.89,10.62,0.71,29.38,0.112192411,62,0.476923077
288,13.8,3.15,1.14,20.21,-0.012646582,42,0.306073315
289,24.41,7.8,0.82,42.23,0.710946614,21,0.885459437
290,,3.13,1.44,3.25,0,55,-0.036024845
291,57.44,3.76,1.08,7.17,-0.422684695,20,1.669717224
292,38.28,2.44,0.61,6.98,-0.025877951,21,0.013052157
293,21.3,6.35,1.02,27.61,0,14,1.449549059
294,35.14,4.66,1.4,13.45,-0.118424178,64,-0.180342894
295,,3.93,1.67,-16.99,0,46,0.758034026
296,28.14,1.23,1.01,8.49,0,72,0.229639986
297,20.07,2.49,0.88,9.92,-0.011828468,22,0.070418724
298,16.57,3.37,0.98,29.66,0,52,0.11284395
299,38.4,0.53,1.31,2,-0.85493438,64,0.19555907
300,7.59,0.64,0.98,-0.66,0,24,-0.019610919
301,99.77,1.48,1.69,2.58,0.016278789,64,-0.026872499
302,2380.67,2.61,1.14,0.78,-0.040691108,29,0.045101304
303,99.68,1.65,1.45,1.89,-0.271163134,29,0.300872093
304,25.99,,1.17,,-0.123747722,55,0.576074332
305,117.01,5.39,1.22,4.32,-0.091516303,52,0.708519637
306,8.88,2.15,1.54,27.7,0.194404756,64,-0.009667674
307,,0.86,1.25,-3.14,-0.155102651,19,0.212976023
308,46.38,15.45,0.58,37.35,0.085037326,10,0.382590339
309,53.59,4.65,1.07,8.6,-0.073406495,29,-0.100979136
310,105.56,3.55,0.96,12.73,0,64,0.616102511
311,294.13,8.79,,2.2,0,86,1.703175169
312,9.83,1.35,,15.42,0,30,0.122224765
313,79.75,15.52,,32.35,0.240679988,86,0.467037169
314,,2.18,1.43,8.89,0.064619762,29,0.395206243
315,132.66,6.57,1.28,7.94,0.046161518,29,0.750469513
316,27.4,7.47,0.7,29.71,0.03566372,62,1.286114373
317,30.8,3.68,1.51,17.82,0,24,-0.075118543
318,25.1,2.84,1.52,24.02,0.527724545,66,0.33976545
319,21.88,7.53,0.48,34.72,0,62,0.932822494
320,39.62,5.69,1.14,12.01,0.024450994,64,-0.053042122
321,13.73,3.4,1.09,27.77,0.21226785,64,0.264838297
322,373.98,3.23,1.61,5.17,0,41,0.511149228
323,20.42,0.67,1.92,4.99,-0.119009852,42,0.343451865
324,7.53,0.7,0.65,10.21,0,35,0.205298013
325,10.38,0.59,0.6,11.24,0,35,-0.059037239
326,7.56,1.13,1.25,13.5,0,71,0.322411533
327,6.81,0.82,0.73,9.18,0,35,0.166079517
328,,8.63,0.58,-6.98,-0.23600883,86,0.157536539
329,51.84,4.35,1.1,12.78,0,21,0.021414834
330,18.37,0.78,1.3,1.35,0,24,1.234338747
331,5.49,0.85,1.36,-8.26,0,20,0.456233422
332,41.92,8.4,0.99,19.69,0.066133271,20,0.584201057
333,20.86,2.6,0.79,11.98,-0.24880302,77,0.078863491
334,85.35,87.81,0.76,105.76,0.068489392,11,0.107567869
335,,3.51,1.49,-33.04,0,73,0.422005571
336,,,1.1,,,65,0.24330617
337,26.23,2.17,1.34,10.31,-0.090577147,22,0.874194087
338,37.19,6.24,1.47,23.35,0.080720888,66,0.412239408
339,35.53,1.94,1.68,7.06,0.111917195,20,0.913967259
340,63.94,3.22,0.97,6.42,0.24102378,41,0.357130614
341,12.22,0.59,1.02,7.31,0,61,0.289091886
342,22.48,0.46,0.8,11.25,0,61,0.680167598
343,16.35,5.33,0.66,29.39,0.018915077,62,0.476420233
344,51.97,11.75,,29.38,-0.016328401,26,0.471072541
345,51.85,6.51,0.91,18.24,0.311045522,20,0.533154142
346,10.63,0.7,1.68,11.01,-0.105648894,64,0.788419319
347,14.66,1.63,1.21,19.9,0,42,1.115449915
348,,5.52,1.09,2.05,0,59,0.030563551
349,110.14,33,0.98,39.96,-0.038940621,14,0.160889525
350,23.89,4.35,0.75,19.95,0.147793921,62,1.316217909
351,12.45,3.37,0.77,25.67,0,52,-0.066033926
352,57.71,10.23,0.63,17.19,-0.025418352,34,0.185762121
353,12.04,1.6,1.86,18.24,-0.178947497,20,0.383974727
354,43.69,3.14,0.78,5.37,0,41,0.12297463
355,90.73,17.03,0.77,21.57,-0.030014882,20,0.322883924
356,,1.55,1.5,0.19,-0.233330048,64,0.806390649
357,39.78,8.56,0.88,18.74,0.153563799,32,0.893322797
358,21.62,3.51,,19.45,0.00647364,27,1.31991127
359,15.52,4.06,1.37,39.22,0,22,1.167311344
360,4.15,0.59,1.32,12.9,0,64,0.11592301
361,7.84,1.46,0.56,17.55,0,35,0.214972962
362,84.19,1.96,1.22,5.51,0,41,0.695603157
363,20.7,3.47,,23.62,0.271258534,22,1.245137492
364,130.75,4.54,1.67,19.22,-0.087813563,23,0.426312818
365,53.32,17.37,0.72,28.03,0,21,-0.214990832
366,52.87,27.2,0.35,41.91,0,20,0.261088482
367,351.7,0.55,1.62,2.86,0.465099913,64,0.131618759
368,563.75,3.47,1.46,-13.64,0,78,0.520299927
369,25.26,1.1,1.66,4.37,-0.020509908,64,-0.247349059
370,3.84,0.66,1.41,21.34,0.185212135,64,0.126587005
371,27.59,6.33,1.03,21.73,0,23,0.436309524
372,25.37,3.61,1.28,16.05,0,11,0.960310518
373,6.3,1.03,,19.17,0,42,0.3125
374,129.28,4.68,1.57,2.98,-0.217851134,46,0.827681388
375,104.93,2.91,0.33,8.49,0,32,0.242890633
376,27.77,3.46,1.02,15.24,0.078330231,20,0.039466667
377,27.06,3.44,0.99,14.45,-0.046349149,23,0.319563034
378,15.04,0.91,1.62,6.8,0,20,0.375932836
379,32.93,3.93,0.76,19.04,0,24,0.351233902
380,,1.3,1.43,-6.87,-0.43496073,13,0.282142329
381,12.48,2.64,0.96,13.61,0.199160704,46,1.070347958
382,83.03,13.76,0.8,20.5,-0.015544341,15,0.461837718
383,50.16,2.89,1.01,7.38,-0.213822043,19,0.229486727
384,,7.5,0.61,3.8,0,22,-0.319924913
385,18.79,2.65,,24.07,0,46,0.009756996
386,66.93,6.21,,23,0.16050487,20,0.480702688
387,376.87,13.66,,10.9,-0.086664001,61,0.81908793
388,187.52,13.16,,19.27,-0.003866996,64,0.270665648
389,,,0.74,,,65,0.369919823
390,,7.84,0.81,7.27,-0.0067517,80,0.125742228
391,5.22,0.78,0.5,14.37,0,35,0.07444668
392,36.8,5.79,0.66,17.16,-0.080552992,28,0.871609933
393,44.92,5.49,1.18,16.85,0.043080521,20,0.821857227
394,36.04,9.05,0.51,20.94,-0.054665529,21,-0.010478026
395,48.16,4.52,0.73,9.54,-0.136013057,28,0.634951777
396,,,1.36,,-0.058777659,27,0.362181387
397,124.7,4.61,1.15,2.47,0,21,0.345325863
398,9.06,1.75,1.33,14.91,0.215186324,46,0.216035635
399,58.7,8.87,0.51,19.65,-0.028452535,22,0.336168745
400,25.96,2.28,1.28,14.17,0,21,0.375194315
401,8.29,0.53,1.49,8.13,-0.161021669,50,0.204301075
402,,11.05,1.01,-172.93,-0.43935393,47,0.246932131
403,40.98,5.98,1.12,16.4,0.067803605,23,0.276531241
